Algorithm,Time,Steps,Path Length
BFS,0.03843235969543457,2836,11
A*,0.014992713928222656,672,11
Simulated Annealing,0.015531539916992188,1000,11
Backtracking,3.0994415283203125e-06,12323,73
Backtracking,1.9073486328125e-06,12323,73
BFS,0.037499189376831055,2836,11
BFS,0.06659817695617676,2836,11
BFS,0.03936409950256348,2836,11
Backtracking,3.0994415283203125e-06,12323,73
Backtracking,3.337860107421875e-06,12323,73
BFS,0.038392066955566406,2836,11
Partial Observation + A*,0.1897296905517578,3330,11
Backtracking,3.0994415283203125e-06,12323,73
BFS,0.038707733154296875,2836,11
Partial Observation + A*,0.1526927947998047,3330,11
Partial Observation + A*,0.11767292022705078,3330,11
BFS,0.03985166549682617,2836,11
Partial Observation + A*,0.1703348159790039,3330,11
Simulated Annealing,0.015871047973632812,1000,11
BFS,0.03902912139892578,2836,11
A*,0.015742063522338867,672,11
Simulated Annealing,0.016669034957885742,1000,11
Partial Observation + A*,0.06445765495300293,977,11
Backtracking,3.0994415283203125e-06,12323,73
